actor	status: initialised
actor	event id: 451000	time 0.00865443s
actor	event id: 452000	time 0.00800211s
actor	event id: 453000	time 0.00853116s
actor	event id: 454000	time 0.00684152s
actor	event id: 455000	time 0.00766951s
actor	event id: 456000	time 0.0139034s
actor	event id: 457000	time 0.00939236s
actor	event id: 458000	time 0.0132533s
actor	event id: 459000	time 0.00870903s
actor	event id: 460000	time 0.0124398s
actor	event id: 461000	time 0.00682262s
actor	event id: 462000	time 0.00898671s
actor	event id: 463000	time 0.0158628s
actor	event id: 464000	time 0.0236065s
actor	event id: 465000	time 0.0091874s
actor	event id: 466000	time 0.0074616s
actor	event id: 467000	time 0.0154644s
actor	event id: 468000	time 0.0101621s
actor	event id: 469000	time 0.00715395s
actor	event id: 470000	time 0.00930324s
actor	event id: 471000	time 0.0128139s
actor	event id: 472000	time 0.00670992s
actor	event id: 473000	time 0.00609019s
actor	source	file:videos/Detour 1945 Tom Neal & Ann Savage [CWEKbgKG_SI].webm
actor	next video index: 23
actor	seekable: false	duration: 4145261
actor	event id: 474000	time 0.0617667s
actor	event id: 475000	time 0.00889391s
actor	event id: 476000	time 0.0231319s
actor	event id: 477000	time 0.0092994s
actor	event id: 478000	time 0.0122589s
actor	event id: 479000	time 0.0558426s
actor	event id: 480000	time 0.0584443s
actor	event id: 481000	time 0.0132587s
actor	event id: 482000	time 0.00863396s
actor	event id: 483000	time 0.00771395s
actor	event id: 484000	time 0.0159965s
actor	event id: 485000	time 0.0138563s
actor	event id: 486000	time 0.00771761s
actor	event id: 487000	time 0.0312895s
actor	event id: 488000	time 0.013581s
actor	event id: 489000	time 0.0564853s
actor	event id: 490000	time 0.00808467s
actor	event id: 491000	time 0.0193968s
actor	event id: 492000	time 0.0580737s
actor	event id: 493000	time 0.051365s
actor	event id: 494000	time 0.0585846s
actor	event id: 495000	time 0.0117827s
actor	event id: 496000	time 0.014355s
actor	event id: 497000	time 0.00928932s
actor	event id: 498000	time 0.0115814s
